CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL2012141126,2499-13,STOLEN VEHICLE,08/14/2012 02:38:00 AM,08/14/2012 01:30:00 AM,3,"600 S BRAMPTON WAY
Salt lake City, Utah
(40.756360981000455, -111.93645982699968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012179123,2404-64,STOLEN VEHICLE,10/12/2012 05:49:00 PM,10/12/2012 10:00:00 AM,6,"900 S 1100 E
Salt lake City, Utah
(40.74969191400049, -111.85952371399969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20123724,2499-13,STOLEN VEHICLE,01/07/2012 04:24:00 PM,01/07/2012 04:24:00 PM,7,"400 E RAMONA AVE
Salt lake City, Utah
(40.72828538600049, -111.84747447499967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012206777,2499-15,STOLEN VEHICLE,12/01/2012 04:52:00 PM,12/01/2012 04:52:00 PM,7,"300 W HOPE AVE
Salt lake City, Utah
(40.738918948000446, -111.89981512799972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012185369,2499-13,STOLEN VEHICLE,10/23/2012 04:50:00 PM,10/23/2012 04:50:00 PM,3,"100 N REDWOOD RD
Salt lake City, Utah
(40.77173005500049, -111.93923315599972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012140726,2499-14,STOLEN VEHICLE,08/13/2012 12:53:00 PM,08/13/2012 12:53:00 PM,2,"00 S RIO GRANDE ST
Salt lake City, Utah
(40.76451600700045, -111.90408205999967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012102949,2499-13,STOLEN VEHICLE,06/18/2012 08:10:00 PM,06/18/2012 08:10:00 PM,2,"300 E 4TH AVE
Salt lake City, Utah
(40.77394692000047, -111.8804291989997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012204843,2499-13,STOLEN VEHICLE,11/28/2012 11:43:00 AM,11/28/2012 11:00:00 AM,4,"700 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77162788600049, -111.91150595399967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201276856,2499-13,STOLEN VEHICLE,05/08/2012 02:42:00 PM,05/08/2012 02:42:00 PM,3,"00 S MAIN ST
Salt lake City, Utah
(40.677136274000475, -111.89125586999967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012163276,2499-13,STOLEN VEHICLE,09/16/2012 04:38:00 PM,09/16/2012 04:38:00 PM,1,"00 N I ST
Salt lake City, Utah
(40.77756306600048, -111.87155986999971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012108122,2499-14,STOLEN VEHICLE,06/26/2012 11:13:00 AM,06/26/2012 11:13:00 AM,3,"200 S NAVAJO ST
Salt lake City, Utah
(40.76440256300049, -111.92953459999967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
