"state","county","POPESTIMATE2020","state.y","pov_perc","perc_pop_fully_vaccinated","Metro_status","cases","deaths","fips","icu_beds","mask_requirement2020","perc_age_0_19","perc_age_20_34","perc_age_35_49","perc_age_50_64","perc_age_65_74","perc_age_75_older","perc_female_19","perc_white_19","perc_black_19","perc_asian_19","perc_indig_19","perc_hispan_19","perc_pacif_19"
"Alabama","Autauga",56145,"AL",11.2,43.1,"Metro",15442,184,1001,6,"In public",0.255096744,0.188118635,0.199430811,0.197623011,0.089727756,0.070003043,0.515079919,0.762623279,0.201131218,0.011741753,0.004761138,0.029909252,0.001038143
"Arizona","Apache",71875,"AZ",32.4,95,"Non-metro",21742,581,4001,0,"None",0.298023287,0.195543005,0.162421578,0.186348018,0.093160098,0.064504013,0.506419798,0.222752375,0.005619931,0.004799199,0.749996522,0.065881175,0.000500786
"Arkansas","Arkansas",17383,"AR",17.2,54.9,"Non-metro",5612,73,NA,NA,"In public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","Arkansas",17383,NA,NA,NA,NA,5612,73,5001,0,NA,0.248884822,0.167562622,0.177685005,0.202790804,0.118151664,0.084925083,0.517499714,0.717659842,0.250886423,0.00823516,0.003488505,0.034427542,0.000343132
"California","Alameda",1662323,"CA",8.6,80.8,"Metro",260696,1713,6001,282,"In public",0.226973863,0.22515914,0.220398258,0.18461057,0.084222795,0.058635373,0.507429716,0.492777305,0.110312213,0.323330116,0.010648412,0.223208596,0.00943022
"Colorado","Adams",519883,"CO",9.4,66.9,"Metro",129979,1291,8001,168,"In public (indoor)",0.285902582,0.227360312,0.212994834,0.166425406,0.067266307,0.040050558,0.494386583,0.857189793,0.040284411,0.044909271,0.023360088,0.408060361,0.002189706
"Connecticut","Fairfield",942426,"CT",8.8,79.9,"Metro",197585,2621,9001,173,"In public",0.250195053,0.178091064,0.192545148,0.215969563,0.089498713,0.073700458,0.512992245,0.783583086,0.129325624,0.058822345,0.005422269,0.205412304,0.001090814
"Delaware","Kent",183643,"DE",13,54.6,"Metro",49339,599,10001,29,"In public",0.257116148,0.204628677,0.173951523,0.189384134,0.101528879,0.073390639,0.518447225,0.656433573,0.273135088,0.023856936,0.007323576,0.074181629,0.001167126
"District of Columbia","District of Columbia",712816,"DC",15,67.3,"Metro",133697,1314,11001,NA,"Most public indoor spaces",0.211600725,0.305969969,0.208900048,0.149769961,0.071157026,0.052602271,0.525736487,0.459909968,0.459772525,0.044636266,0.005851939,0.112613691,0.00130783
"Florida","Alachua",271218,"FL",17.2,65.4,"Metro",66632,550,12001,210,"In public",0.231535479,0.307448995,0.160688068,0.154358225,0.08789673,0.058072501,0.517995265,0.69861695,0.206305312,0.061518047,0.003746613,0.10489773,0.000739659
"Georgia","Appling",18325,"GA",19.9,35.3,"Non-metro",4704,116,13001,3,"None",0.26819319,0.176547373,0.181279234,0.196834548,0.10524312,0.071902535,0.501958012,0.772054824,0.195529207,0.008321549,0.005710867,0.100348091,0.002175568
"Hawaii","Hawaii",203340,"HI",12.2,0,"Non-metro",25599,180,15001,24,"Business",0.234778898,0.165810642,0.177427759,0.203431044,0.138159821,0.080391836,0.505500886,0.340444537,0.00845603,0.212323771,0.005672091,0.129018971,0.128388739
"Idaho","Ada",494399,"ID",7.7,63.3,"Metro",120175,976,16001,105,"In public",0.257768586,0.202848084,0.208307118,0.181657727,0.092496268,0.056922218,0.499297116,0.918940918,0.013777365,0.027266101,0.008199972,0.08522863,0.002221821
"Illinois","Adams",64783,"IL",10.7,51.3,"Non-metro",21985,227,17001,25,"In public",0.247421105,0.17499809,0.169817376,0.201253152,0.107144495,0.099365783,0.507419577,0.927607549,0.039076947,0.00939864,0.002903645,0.017742798,0.000275082
"Indiana","Adams",35839,"IN",11.8,32.5,"Non-metro",7299,111,18001,4,"In public",0.338150208,0.175280208,0.158873019,0.168907399,0.086004975,0.072784191,0.500377337,0.978142382,0.005534282,0.003829276,0.003270257,0.04536434,0.000419264
"Iowa","Adair",7059,"IA",10.8,48.8,"Non-metro",1565,49,19001,0,"None",0.237276286,0.162332215,0.155061521,0.214904922,0.118008949,0.112416107,0.501957494,0.973993289,0.005872483,0.005313199,0.002516779,0.025447427,0.000419463
"Kansas","Allen",12399,"KS",14.5,45.5,"Non-metro",3929,46,20001,0,"In public",0.256043334,0.168889967,0.171315385,0.194033471,0.113913817,0.095804026,0.507720915,0.925377961,0.021828765,0.011722856,0.010429299,0.037917374,0.000323389
"Kentucky","Adair",19555,"KY",22.1,38.7,"Non-metro",5330,98,21001,0,"In public",0.239714613,0.193156963,0.166440996,0.208259556,0.112227893,0.080199979,0.501614415,0.948338715,0.028851161,0.004062077,0.003020519,0.021612332,0.000520779
"Louisiana","Acadia Parish",61918,"LA",20.7,52.2,"Metro",NA,NA,NA,NA,"In public",0.28047385,0.190909824,0.175630591,0.19510033,0.092513498,0.065371907,0.510693851,0.796760416,0.179595455,0.00338464,0.004077686,0.027915223,0.000273995
"Maine","Androscoggin",108547,"ME",11.7,69,"Metro",21294,225,23001,54,"In public",0.2410946,0.184462074,0.180333774,0.212482799,0.106227546,0.075399208,0.51021916,0.917212335,0.044995705,0.00936487,0.004220656,0.019394701,0.000350952
"Maryland","Allegany",70057,"MD",14.7,55,"Metro",16855,343,24001,15,"Most public indoor spaces",0.210477732,0.213786639,0.175485685,0.194742672,0.110997501,0.094509771,0.478925244,0.882498296,0.082623267,0.01131845,0.002172802,0.019256987,0.000695865
"Massachusetts","Barnstable",213164,"MA",7.7,0,"Metro",34091,657,25001,34,"In public",0.166848209,0.140457298,0.1380816,0.240433823,0.179168036,0.135011033,0.522085544,0.921822621,0.034579088,0.01590685,0.007483919,0.033968731,0.000629138
"Michigan","Alcona",10505,"MI",14,57.7,"Non-metro",1689,67,26001,0,"In public",0.137914464,0.109082172,0.124171072,0.267371456,0.197597309,0.163863527,0.497068717,0.968188371,0.005478136,0.004036521,0.007208073,0.016049976,0.000672753
"Minnesota","Aitkin",15848,"MN",11.1,58.2,"Non-metro",2876,60,27001,4,"Most public indoor spaces",0.178459021,0.113118469,0.131058794,0.239141382,0.190104495,0.14811784,0.49452348,0.94768979,0.005728314,0.00295858,0.026879013,0.014226363,0.000314743
"Mississippi","Adams",30275,"MS",27.2,53.1,"Non-metro",7099,140,28001,15,"Public gatherings",0.217997589,0.186654938,0.188707523,0.210992734,0.114553807,0.081093409,0.480467859,0.444107777,0.534421529,0.005799368,0.005375819,0.100967647,0.000260646
"Missouri","Adair",25399,"MO",17.9,44.3,"Non-metro",5963,59,29001,10,"None",0.26165016,0.304975733,0.130805351,0.151481671,0.082744742,0.068342343,0.519749043,0.915361244,0.033776585,0.026200529,0.003945863,0.025766484,0.000670797
"Montana","Beaverhead",9483,"MT",13.3,53.6,"Non-metro",2093,26,30001,0,"In public (indoor)",0.214958214,0.20839945,0.157198773,0.196445573,0.126626468,0.096371522,0.488310589,0.943933143,0.004125674,0.004971967,0.019358934,0.055008992,0.005500899
"Nebraska","Adams",31321,"NE",10.2,41.6,"Non-metro",6211,70,31001,10,"None",0.268883716,0.191977808,0.162867073,0.187641488,0.105761566,0.082868348,0.502152218,0.947039505,0.01300896,0.01294519,0.013104614,0.110002232,0.001052195
"Nevada","Churchill",25363,"NV",10.3,53,"Non-metro",6360,101,32001,0,"In public",0.249909671,0.198843791,0.163234172,0.196956923,0.112730338,0.078325103,0.491870408,0.840619856,0.025452648,0.029989161,0.055481954,0.144766952,0.003894175
"New Hampshire","Belknap",61551,"NH",7.4,61.6,"Non-metro",13041,163,33001,10,"Public Gatherings",0.20139308,0.156289252,0.170415803,0.243919547,0.138149846,0.089832471,0.506109,0.96292188,0.006785965,0.011532878,0.003278795,0.017878407,0.000358873
"New Jersey","Atlantic",262945,"NJ",13.8,65.4,"Metro",67612,962,34001,64,"In public",0.235957826,0.184408541,0.173383396,0.220309478,0.106879812,0.079060947,0.516095877,0.712948003,0.171354344,0.08071453,0.006758448,0.193912846,0.000876095
