"Report.Submission.Source","Incident.City","Date.of.Incident","Hazardous.Class","Total.Hazmat.Fatalities","Total.Hazmat.Hosp.Injuries","Total.Hazmat.NonHosp.Injuries","Total.Amount.of.Damages","Origin.State","Mode.of.Transportation","HMIS.Serious.Injury","HMIS.Serious.Incident.Ind","year","month"
"Paper","SALT LAKE CY",1977-04-28,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1977,4
"Paper","SALT LAKE CY",1979-03-18,"ORGANIC PEROXIDE",0,0,0,0,"NEW YORK","Highway","No","No",1979,3
"Paper","LASAL JUNCTIO",1972-01-10,"OXIDIZER",0,0,0,0,"UTAH","Highway","No","No",1972,1
"Paper","SALT LAKE CY",1978-04-28,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1978,4
"Paper","SALT LAKE CY",1975-04-15,"CORROSIVE MATERIAL",0,0,0,0,"OREGON","Highway","No","No",1975,4
"Paper","SALT LAKE CY",1975-11-07,"CORROSIVE MATERIAL",0,0,0,0,"ILLINOIS","Highway","No","No",1975,11
"Paper","SALT LAKE CY",1977-04-23,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ARKANSAS","Highway","No","No",1977,4
"Paper","ALTAMOUNT",1971-12-13,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1971,12
"Paper","SALT LAKE CY",1978-08-23,"CORROSIVE MATERIAL",0,0,0,0,"MASSACHUSETTS","Highway","No","No",1978,8
"Paper","SALT LAKE CY",1980-05-13,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MISSOURI","Highway","No","No",1980,5
"Paper","SALT LAKE CY",1978-11-01,"CORROSIVE MATERIAL",0,0,0,0,"MISSOURI","Highway","No","No",1978,11
"Paper","CEDAR CITY",1972-06-09,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1972,6
"Paper","SALT LAKE CY",1976-06-25,"POISONOUS MATERIALS",0,0,0,0,"NEW JERSEY","Highway","No","No",1976,6
"Paper","WEST VALLEY",1983-06-29,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1983,6
"Paper","MYTON",1981-01-13,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1981,1
"Paper","SALT LAKE CITY",1989-09-10,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1989,9
"Paper","SALT LAKE CITY",1985-07-04,"CORROSIVE MATERIAL",0,0,0,0,"ILLINOIS","Highway","No","No",1985,7
"Paper","SALT LAKE CY",1980-03-09,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1980,3
"Paper","OGDEN",1978-09-06,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",1978,9
"Paper","SALT LAKE CY",1979-03-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1979,3
"Paper","SALT LAKE CITY",1983-10-24,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1983,10
"Paper","SALT LAKE CITY",1987-12-28,"CORROSIVE MATERIAL",0,0,0,0,"OREGON","Highway","No","No",1987,12
"Paper","SALT LAKE CY",1976-09-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1976,9
"Paper","WOODS CROSS",1979-02-01,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1979,2
"Paper","SALT LAKE CITY",2004-10-03,"OXIDIZER",0,0,0,400,"PENNSYLVANIA","Highway","No","No",2004,10
"Paper","SALT LAKE CITY",1972-03-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MISSOURI","Highway","No","No",1972,3
