"name_org","city","state","formation_yr","exempt_status.501c3","gross_receipts","voting_memb_ct","income_tot_unrelated","fundraise_expense_tot_curyr","asset_tot_beginyr","rev_giftsgrants_tot_curyr","rev_investmt_curyr","rev_prgmservice_curyr","rev_tot_curyr","grants_expense_tot_curyr","benefits_expense_tot_curyr","salaries_expense_tot_curyr","expense_tot_curyr","rev_less_expense_curyr","asset_tot_endyr","liability_tot_endyr","asset_net_endyr","delegate_management","memb_elect_board","conflict_interest_policy","enforce_conflict_policy","whistleblower_policy"
"The Grandville Education Foundation","Grandville","MI",1991,"true",76705,13,0,2663,460715,39510,37195,0,71876,18535,0,13265,37129,34747,505872,16344,489528,"no","no","no","","no"
"COMMUNITY CENTER OF LA CANADA FLINTRIDGE","LA CANADA","CA",1948,"true",1295372,12,0,22657,908972,173592,1580,966910,1211809,0,0,597010,1097634,114175,1086132,91193,994939,"no","no","yes","yes","yes"
"ASSOCIATION OF SUBCONTRACTORS & AFFILIATES","DES PLAINES","IL",1967,"",1021193,14,10841,0,661157,0,17766,523838,573451,0,0,226248,592091,-18640,599560,42113,557447,"no","yes","yes","yes","yes"
"Mountain State Congress of Optometry","Parker","CO",1974,"true",162867,7,0,0,221864,0,3459,159408,162867,70000,0,0,197120,-34253,187611,0,187611,"no","no","yes","no","yes"
"FOREST CITY EDUCATION FOUNDATION","FOREST CITY","IA",2008,"true",459022,24,0,26606,1721711,355989,94593,0,459022,0,0,46562,389853,69169,1839899,1190,1838709,"no","no","yes","no","no"
"County Players Inc","Wappingers Falls","NY",1979,"true",278122,13,0,0,780291,121568,2851,150508,278122,0,0,0,197373,80749,961715,83953,877762,"no","no","yes","yes","no"
"TOWER EDUCATION ASSOCIATION","ANN ARBOR","MI",1995,"true",2254794,9,0,0,3718680,193809,1228,2049009,2238296,471455,0,1237859,2218909,19387,3847473,2828704,1018769,"no","no","yes","yes","yes"
"UNITY CHRISTIAN HIGH SCHOOL EDUCATIONAL FOUNDATION","HUDSONVILLE","MI",1972,"true",819050,7,0,0,3161948,254553,168350,0,420941,222650,0,0,238967,181974,3403989,0,3403989,"no","no","yes","yes","yes"
"Health for Humanity","Wadsworth","IL",1992,"true",237692,6,0,0,148096,237250,442,0,237692,0,0,11875,36729,200963,349059,0,349059,"no","yes","yes","yes","yes"
"BROWNSFERRY SPIRIT FUND","Decatur","AL",2003,"true",103112,11,0,0,81784,82112,54,0,89287,35813,0,0,36233,53054,134838,0,134838,"no","no","no","no","no"
"KANSAS LIONS SIGHT FOUNDATION INC","LENEXA","KS",1966,"true",233840,18,0,0,1064096,24411,38024,21350,84036,38200,0,18085,122754,-38718,1019432,0,1019432,"no","yes","no","","no"
"PUNXSUTAWNEY LODGE NO 954 LOYAL","PUNXSUTAWNEY","PA",1946,"",254196,0,2815,0,39526,4911,0,0,144221,0,0,58758,137991,6230,41279,-9809,51088,"no","yes","yes","yes","yes"
"PLANO DEVELOPMENT CORPORATION","VISALIA","CA",1979,"true",1068037,5,0,0,2489704,0,2628,1061672,1068037,0,0,168025,994298,73739,2487489,4061516,-1574027,"no","no","no","","no"
"Anderson Lodge 150 - Loyal Order of Moose Inc","Anderson","IN",1938,"",572335,8,0,0,318498,31589,0,352764,418806,40552,0,50272,404530,14276,318359,-558,318917,"no","yes","no","","no"
"FRIENDS OF FSH RESEARCH","KIRKLAND","WA",2004,"true",666103,24,0,6355,585563,558286,935,0,542000,359436,0,29980,406500,135500,762706,41713,720993,"no","no","no","","yes"
"Sauk Prairie Youth Hockey Association Inc","Prairie du Sac","WI",1982,"true",361233,7,0,4443,485791,1016,194,103721,131832,0,0,0,140701,-8869,460897,153867,307030,"no","yes","no","no","no"
"INSPIRE GROUP INC","TALLAHASSEE","FL",2007,"true",828289,5,0,0,103662,11950,-2909,816290,825331,0,0,413816,824414,917,67407,60534,6873,"no","no","yes","no","no"
"Crystal Mountain Skiers Inc co Roslyn Webber","Bainbridge Island","WA",NA,"",118493,9,0,0,1111619,118404,89,0,118493,0,0,0,76235,42258,1154847,14665,1140182,"no","yes","no","no","no"
"WHITNEY JUNIOR WILDCATS FOOTBALL","ROCKLIN","CA",2007,"true",188753,8,0,11164,140493,99428,-1808,0,151594,0,0,0,160702,-9108,131385,0,131385,"no","yes","no","","no"
"JACKSON MEMORIAL BAND PARENTS INC","JACKSON","NJ",2007,"true",233452,15,19,0,99429,3326,19,43758,144360,0,0,0,145677,-1317,98112,0,98112,"no","no","yes","yes","yes"
"DANIEL W DOWLING HOME ASSN","AMBLER","PA",1983,"",87201,4,0,0,42925,0,1,0,45509,0,0,0,44772,737,43662,0,43662,"no","no","no","","no"
"BENEVOLENT AND PROTECTIVE ORDER OF","WARRENTON","MO",1985,"",877258,9,7325,0,630953,19266,310,0,197021,0,0,34686,150109,46912,674545,220285,454260,"no","yes","no","no","no"
"BENEVOLENT & PROTECTIVE ORDER OF ELKS LODGE 1137","DICKINSON","ND",1909,"",1481692,9,1750,0,1089556,5084,128302,63664,524239,0,0,278595,573259,-49020,895508,78264,817244,"no","no","no","","no"
"BENEVOLENT & PROTECTIVE ORDER OF ELKS 1776 DUNKIRK LODGE","DUNKIRK","IN",1949,"",240047,178,0,0,154558,739,28,11634,59541,0,0,22329,56634,2907,157603,802,156801,"no","yes","no","","no"
"UNITED SCHOOL ADMINISTRATORS INC","TOPEKA","KS",1971,"",705401,20,0,0,219763,0,110,701597,705401,0,0,306381,692290,13111,238621,23318,215303,"no","no","no","","no"
